Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,1026	0,9243331	1,5837283	1,6239846
0,1028	0,92438197	1,5833921	1,6244042
0,103	0,92438793	1,5828521	1,6245615
0,1032	0,92453218	1,5826542	1,6244555
0,1034	0,92458463	1,5823729	1,6242123
0,1036	0,9248147	1,5824635	1,6240001
0,1038	0,92471218	1,5827091	1,6236758
0,104	0,92480636	1,5828116	1,6235077
0,1042	0,92480993	1,5828652	1,6232753
0,1044	0,9248457	1,5828199	1,6231096
0,1046	0,9249959	1,5828378	1,6231024
0,1048	0,92455721	1,5828831	1,6230714
0,105	0,92390037	1,583348	1,6232443
0,1052	0,92326617	1,5839512	1,6233885
0,1054	0,92274404	1,5843434	1,6235352
0,1056	0,92231965	1,5848918	1,6238332
0,1058	0,92242455	1,5852256	1,6240501
0,106	0,92291808	1,585731	1,6241419
0,1062	0,92321253	1,5860159	1,6242313
0,1064	0,9237752	1,5867014	1,6237795
0,1066	0,92407441	1,5871162	1,6233611
0,1068	0,92442369	1,5876312	1,6231465
0,107	0,92439628	1,5882571	1,6227794
0,1072	0,92466688	1,5886612	1,6225326
0,1074	0,92546082	1,5890737	1,6222334
0,1076	0,92614388	1,5890152	1,6220641
0,1078	0,92670894	1,5890403	1,6217721
0,108	0,92727518	1,5891726	1,6214657
0,1082	0,92763042	1,5893466	1,6210294
0,1084	0,92784381	1,5893276	1,6203952
0,1086	0,92802978	1,5891297	1,6200399
0,1088	0,92832541	1,5891011	1,6200054
0,109	0,92872	1,5890284	1,6202974
0,1092	0,92895365	1,5887935	1,6203845
0,1094	0,9292028	1,5882344	1,62063
0,1096	0,92959142	1,5873904	1,6207576
0,1098	0,92964029	1,586755	1,6209316
0,11	0,92929816	1,5865059	1,6209018
0,1102	0,9290061	1,5866907	1,6209733
0,1104	0,92839217	1,5868099	1,6208208
0,1106	0,92788076	1,5867658	1,6208136
0,1108	0,92700934	1,5868087	1,6210806
0,111	0,92617369	1,5867026	1,6214895
0,1112	0,92542744	1,5868421	1,6220176
0,1114	0,92467999	1,5869994	1,6223967
0,1116	0,92422223	1,587121	1,622777
0,1118	0,92372632	1,5873141	1,6229558
0,112	0,92322445	1,5874834	1,6232467
0,1122	0,92264867	1,5877087	1,6234803
0,1124	0,9225986	1,5878589	1,6238451
0,1126	0,92310762	1,5875537	1,6239965
0,1128	0,92339969	1,5869505	1,624279
0,113	0,92352128	1,5864236	1,6245139
0,1132	0,92355466	1,5859754	1,6247284
0,1134	0,92375851	1,5852888	1,6249275
0,1136	0,92373109	1,5847726	1,6251373
0,1138	0,92382288	1,5841455	1,6254067
0,114	0,92379904	1,5835066	1,6259277
0,1142	0,92376804	1,5828736	1,6263807
0,1144	0,92373586	1,5822191	1,6265833
0,1146	0,92369056	1,581548	1,6265059
